opinion_id,true_topic_id,true_rank_in_topK,hit@1,hit@5,hit@10,hit@20,text,pred1_topic_id,pred2_topic_id,pred3_topic_id,pred4_topic_id,pred5_topic_id
c22adee811b6,007ACE74B050,1,1,1,1,1,i think that the face is a natural landform because there is no life on mars that we have descovered yet,007ACE74B050,B4CB3063482A,6EEAB9FBADDF,54351180CD4F,A954E3B54194
a10d361e54e4,007ACE74B050,2,0,1,1,1,"if life was on mars, we would know by now. the reason why i think it is a natural landform because, nobody live on mars in order to create the figure. it says in paragraph 9, ""it's not easy to target cydonia,"" in which he is saying that its not easy to know if it is a natural landform at this point. in all that they're saying, its probably a natural landform.",4C51280DE2A8,007ACE74B050,E22833B1E06E,159FA6D54C9B,4A8B8527DD14
db3e453ec4e2,007ACE74B050,4,0,1,1,1,people thought that the face was formed by alieans because they thought that there was life on mars.,B4CB3063482A,879F0C1C09CD,C81BC69CEE2B,007ACE74B050,809AD723F37C
36a565e45db7,007ACE74B050,5,0,1,1,1,"though some say that life on mars does exist, i think that there is no life on mars.",4C51280DE2A8,E420A3813AE5,90CA5D1644D4,B4CB3063482A,007ACE74B050
fb65fe816ba3,007ACE74B050,10,0,0,1,1,"it says in paragraph 7, on april 5, 1998, mars global surveyor flew over cydonia for the first time. michael malin took a picture of mars with his orbiter camera, that the face was a natural landform.",F86C71E10A78,4C51280DE2A8,B4CB3063482A,DC93D8BDE631,5F9EA3F22EDD
4e472e2584fa,007ACE74B050,-1,0,0,0,0,"everyone who thought it was made by alieans even though it wasn't, was not satisfied. i think they were not satisfied because they have thought since 1976 that it was really formed by alieans.",013B9AA6B9DB,F601382A47E1,50964348BC11,12E285708DA2,BB3EBEF87BBB
a6fcdd9110ab,00944C693682,-1,0,0,0,0,"it is no secret that morning traffic jams and 5'o'clock traffic is often enough to send any driver into a fit of unadulterated rage and what better way is there to prevent that than to simply not drive at all? mother and media trainer, heidrum walter attested to this after moving into a mostly car-less community, claiming ""when [she] had a car [she] was always tense. [she's] much happier [that] way"" (source 1). if that were not enough, businessman carlos arturo plaza who participated in the day without cars in bogota, colombia, after just a day was able to say ""it's a good oppurtunity to take away stress"" (source 3). just one day was enough to de-stress this man and if that does not speak wonders, one has to wonder what does. the event ""[left] the streets of [bogota] eerily devoid of traffic jams"" (source 3), which goes to show how stressful it was everyday, with traffic jams a common occurance. no one enjoys them, so why continue to suffer through them?",1CF9D84E94C1,219F04FD37B6,CD9B8F75E2EE,7534BB13F2D4,FC9BC150809F
6efd9102298b,00944C693682,-1,0,0,0,0,the environment suffers greatly from the many car emissions let out on the roads.,D18B9F0D2CB4,E0C57C8B7FFA,F9448F4CD1E8,F5D927221FB8,D20BEF9C2CD7
d6807f31da92,00944C693682,-1,0,0,0,0,"""passenger cars are responsible for 12 percent of greenhouse gas emissions in europe ... and up to 50 percent in some car-intensive areas in the united states"" (source 1). this alone should be enough to horrify anyone out of such copious amounts of car usage. if that were not enough, ""transportation is the second largest source of america's emissions"" (source 4). it is clear that cars are only doing more harm to this earth all humans live on and happen to only have one of, so there is no need to continue on knowing this without changing something about that. even car-pooling could significantly reduce emissions as there would be less cars out there, which is possible through ""more flexible commuting arrangements, including the evolution of shared van services for getting to work"" (source 4).",67780BCAD15F,2F523DD862F0,A455B4430327,F91D7BB4277C,313229323B6E
024f3edf0cdb,00944C693682,-1,0,0,0,0,", adding the last two reasons together makes for another very important factor in all of this: everyone's general health. both stress and high concentrations of smog can do a toll on one's body and the reduction of cars, once again, helps to reduce this terrible down-sides to the easy transportation option",E0C57C8B7FFA,FE018F15F8A4,939C163906D1,E570BB4A5B5B,5CD16BFB1881
